GEO_OBJECT,TIME_PERIOD,OBS_VALUE,code
DEP,2012,4579,01
DEP,2013,4595,01
DEP,2014,4916,01
DEP,2015,4435,01
DEP,2016,4848,01
DEP,2017,5052,01
DEP,2018,5750,01
DEP,2019,7084,01
DEP,2020,7253,01
DEP,2021,8164,01
DEP,2022,8417,01
DEP,2023,8311,01
DEP,2024,9188,01
REG,2012,5012,01
REG,2013,4489,01
REG,2014,4223,01
REG,2015,4263,01
REG,2016,4220,01
REG,2017,4521,01
REG,2018,5592,01
REG,2019,5859,01
REG,2020,5605,01
REG,2021,6751,01
REG,2022,7849,01
REG,2023,8058,01
REG,2024,8178,01
DEP,2012,2916,02
DEP,2013,2888,02
DEP,2014,2754,02
DEP,2015,2640,02
DEP,2016,2687,02
DEP,2017,3038,02
DEP,2018,3173,02
DEP,2019,3572,02
DEP,2020,3753,02
DEP,2021,4525,02
DEP,2022,4422,02
DEP,2023,4613,02
DEP,2024,5000,02
REG,2012,4918,02
REG,2013,5046,02
REG,2014,4475,02
REG,2015,4407,02
REG,2016,4704,02
REG,2017,5067,02
REG,2018,5451,02
REG,2019,5555,02
REG,2020,5822,02
REG,2021,8024,02
REG,2022,9396,02
REG,2023,8956,02
REG,2024,7317,02
DEP,2012,2077,03
DEP,2013,2142,03
DEP,2014,2081,03
DEP,2015,1933,03
DEP,2016,1894,03
DEP,2017,2020,03
DEP,2018,2096,03
DEP,2019,2375,03
DEP,2020,2533,03
DEP,2021,3151,03
DEP,2022,3355,03
DEP,2023,3403,03
DEP,2024,3484,03
REG,2012,2259,03
REG,2013,1970,03
REG,2014,2059,03
REG,2015,1748,03
REG,2016,1570,03
REG,2017,1495,03
REG,2018,1918,03
REG,2019,1960,03
REG,2020,2010,03
REG,2021,2952,03
REG,2022,3087,03
REG,2023,3343,03
REG,2024,3540,03
DEP,2012,1713,04
DEP,2013,1638,04
DEP,2014,1671,04
DEP,2015,1632,04
DEP,2016,1524,04
DEP,2017,1590,04
DEP,2018,1751,04
DEP,2019,2064,04
DEP,2020,2014,04
DEP,2021,2498,04
DEP,2022,2629,04
DEP,2023,2505,04
DEP,2024,2486,04
REG,2012,7230,04
REG,2013,6950,04
REG,2014,6819,04
REG,2015,6606,04
REG,2016,6930,04
REG,2017,7384,04
REG,2018,7795,04
REG,2019,8264,04
REG,2020,9483,04
REG,2021,11390,04
REG,2022,12044,04
REG,2023,12290,04
REG,2024,13097,04
DEP,2012,1530,05
